Hospital Name,Doctors
Ramaiah Memorial Hospital,"Dr. Sai Singh, Dr. Harini Singh, Dr. Charulata Iyer, Dr. Sneha Sharma, Dr. Ekata Agarwal, Dr. Tanvi Gupta, Dr. Bhakti Roy, Dr. Sukhleen Gupta, Dr. Mehar Shah, Dr. Keya Khanna, Dr. Navita Singh, Dr. Jaisnavi Khanna, Dr. Laasya Iyer, Dr. Mirai Agarwal, Dr. Madhavi Nair, Dr. Ishani Khanna, Dr. Jui Gupta, Dr. Vaidarbhi Roy, Dr. Taahira Singh, Dr. Urvashi Iyer"
Manipal Hospital Yeshwanthpur,"Dr. Ananya Singh, Dr. Hana Singh, Dr. Madiha Joshi, Dr. Dnyanada Singh, Dr. Pallavi Joshi, Dr. Pavati Khanna, Dr. Zahira Iyer, Dr. Prisha Gupta, Dr. Gurleen Gupta, Dr. Ikamroop Singh, Dr. Durga Shah, Dr. Falguni Kumar, Dr. Saida Patel, Dr. Larisa Menon, Dr. Neela Nair, Dr. Bisanpreet Rao, Dr. Harveen Joshi, Dr. Krisha Roy, Dr. Rukhsar Rao, Dr. Laila Menon"
Fortis Hospital Richmond Road,"Dr. Amoli Jain, Dr. Harleen Iyer, Dr. Hiya Agarwal, Dr. Pallavi Joshi, Dr. Anuja Khanna, Dr. Paakhi Sharma, Dr. Gayatri Sharma, Dr. Zainab Joshi, Dr. Gurleen Gupta, Dr. Saida Patel, Dr. Nyla Kumar, Dr. Avni Roy, Dr. Sahar Sharma, Dr. Jasmine Roy, Dr. Anaisha Singh, Dr. Harveen Joshi, Dr. Arohi Gupta, Dr. Rukhsar Rao, Dr. Manya Sharma, Dr. Farida Sharma"
"SPARSH Hospital, Infantry Road","Dr. Saisha Shah, Dr. Sneha Sharma, Dr. Rimjhim Gupta, Dr. Naitee Nair, Dr. Saloni Kumar, Dr. Sukhleen Gupta, Dr. Mehar Shah, Dr. Jaisnavi Khanna, Dr. Nirali Agarwal, Dr. Anika Kumar, Dr. Bansari Agarwal, Dr. Nehrika Patel, Dr. Charmi Kumar, Dr. Unnati Joshi, Dr. Sahar Sharma, Dr. Mayra Singh, Dr. Adhira Rao, Dr. Sofia Gupta, Dr. Riva Khanna, Dr. Rabia Nair"
Manipal Hospital Hebbal,"Dr. Naitee Nair, Dr. Dnyanada Singh, Dr. Manavi Patel, Dr. Pavati Khanna, Dr. Navita Singh, Dr. Neeta Gupta, Dr. Kimaya Gupta, Dr. Ekkam Singh, Dr. Zainab Joshi, Dr. Durga Shah, Dr. Falguni Kumar, Dr. Parminder Patel, Dr. Navya Rao, Dr. Malini Rao, Dr. Meera Sharma, Dr. Katiya Kumar, Dr. Anaisha Patel, Dr. Simrat Singh, Dr. Sofia Gupta, Dr. Rabia Nair"
Manipal Hospital Millers Road,"Dr. Fawziya Patel, Dr. Keya Khanna, Dr. Zara Menon, Dr. Padma Iyer, Dr. Ryka Roy, Dr. Laasya Iyer, Dr. Nyla Kumar, Dr. Madhavi Nair, Dr. Larisa Menon, Dr. Shrishti Rao, Dr. Ishani Khanna, Dr. Aas Singh, Dr. Turvi Patel, Dr. Inika Gupta, Dr. Drisna Sharma, Dr. Aaliyah Kumar, Dr. Leela Kumar, Dr. Sukhdeep Khanna, Dr. Pratibha Singh, Dr. Ami Iyer"
Santosh Hospital - Best Multispeciality Hospital in Bangalore,"Dr. Saisha Shah, Dr. Amoli Jain, Dr. Ekata Agarwal, Dr. Sharayu Sharma, Dr. Shanaya Nair, Dr. Amanroop Agarwal, Dr. Tapti Shah, Dr. Ira Nair, Dr. Ryka Roy, Dr. Rebecca Menon, Dr. Mayuri Rao, Dr. Neela Nair, Dr. Mahika Joshi, Dr. Aas Singh, Dr. Kashvi Singh, Dr. Krisha Roy, Dr. Apsara Singh, Dr. Gulika Shah, Dr. Saundarya Patel, Dr. Riva Khanna"
Fortis Hospital Cunningham Road,"Dr. Oviya Menon, Dr. Parina Iyer, Dr. Sharayu Sharma, Dr. Eshika Joshi, Dr. Ananya Khanna, Dr. Tapti Shah, Dr. Geetika Singh, Dr. Padma Iyer, Dr. Nehrika Patel, Dr. Nirmala Roy, Dr. Mahika Joshi, Dr. Mayra Singh, Dr. Tejshri Singh, Dr. Aaina Joshi, Dr. Turvi Patel, Dr. Nyra Sharma, Dr. Taahira Singh, Dr. Saira Agarwal, Dr. Asmee Gupta, Dr. Kalpana Menon"
North Bangalore Hospital,"Dr. Oviya Menon, Dr. Harleen Iyer, Dr. Nihaara Rao, Dr. Bhakti Roy, Dr. Jyotsna Roy, Dr. Aisha Nair, Dr. Gayatri Sharma, Dr. Charul Rao, Dr. Mayuri Rao, Dr. Charmi Kumar, Dr. Jasmine Roy, Dr. Amara Rao, Dr. Arohi Gupta, Dr. Nandini Patel, Dr. Faal Khanna, Dr. Inika Gupta, Dr. Dhruvi Singh, Dr. Pratibha Singh, Dr. Dilreet Patel, Dr. Kumudini Shah"
VSH Hospital,"Dr. Ridhi Roy, Dr. Rimjhim Gupta, Dr. Madiha Joshi, Dr. Shivali Rao, Dr. Nirali Agarwal, Dr. Charanpreet Sharma, Dr. Inaya Khanna, Dr. Ekkam Singh, Dr. Mishka Kumar, Dr. Gurmeet Roy, Dr. Purva Agarwal, Dr. Anaisha Patel, Dr. Saanvi Iyer, Dr. Nadia Shah, Dr. Nyra Sharma, Dr. Tahira Roy, Dr. Zara Singh, Dr. Mehr Nair, Dr. Adah Nair, Dr. Neysa Singh"
